#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
sp1	Kingdom_sp1	Phylum_sp1	Class_sp1	Order_sp1	Family_sp1	Genus_sp1	Species_sp1
sp26	Kingdom_sp26	Phylum_sp26	Class_sp26	Order_sp26	Family_sp26	Genus_sp26	Species_sp26
sp27	Kingdom_sp27	Phylum_sp27	Class_sp27	Order_sp27	Family_sp27	Genus_sp27	Species_sp27
sp28	Kingdom_sp28	Phylum_sp28	Class_sp28	Order_sp28	Family_sp28	Genus_sp28	Species_sp28
sp29	Kingdom_sp29	Phylum_sp29	Class_sp29	Order_sp29	Family_sp29	Genus_sp29	Species_sp29
sp30	Kingdom_sp30	Phylum_sp30	Class_sp30	Order_sp30	Family_sp30	Genus_sp30	Species_sp30
sp31	Kingdom_sp31	Phylum_sp31	Class_sp31	Order_sp31	Family_sp31	Genus_sp31	Species_sp31
sp32	Kingdom_sp32	Phylum_sp32	Class_sp32	Order_sp32	Family_sp32	Genus_sp32	Species_sp32
sp33	Kingdom_sp33	Phylum_sp33	Class_sp33	Order_sp33	Family_sp33	Genus_sp33	Species_sp33
sp34	Kingdom_sp34	Phylum_sp34	Class_sp34	Order_sp34	Family_sp34	Genus_sp34	Species_sp34
sp35	Kingdom_sp35	Phylum_sp35	Class_sp35	Order_sp35	Family_sp35	Genus_sp35	Species_sp35
sp36	Kingdom_sp36	Phylum_sp36	Class_sp36	Order_sp36	Family_sp36	Genus_sp36	Species_sp36
sp37	Kingdom_sp37	Phylum_sp37	Class_sp37	Order_sp37	Family_sp37	Genus_sp37	Species_sp37
sp38	Kingdom_sp38	Phylum_sp38	Class_sp38	Order_sp38	Family_sp38	Genus_sp38	Species_sp38
sp39	Kingdom_sp39	Phylum_sp39	Class_sp39	Order_sp39	Family_sp39	Genus_sp39	Species_sp39
sp40	Kingdom_sp40	Phylum_sp40	Class_sp40	Order_sp40	Family_sp40	Genus_sp40	Species_sp40
sp41	Kingdom_sp41	Phylum_sp41	Class_sp41	Order_sp41	Family_sp41	Genus_sp41	Species_sp41
sp42	Kingdom_sp42	Phylum_sp42	Class_sp42	Order_sp42	Family_sp42	Genus_sp42	Species_sp42
sp43	Kingdom_sp43	Phylum_sp43	Class_sp43	Order_sp43	Family_sp43	Genus_sp43	Species_sp43
sp44	Kingdom_sp44	Phylum_sp44	Class_sp44	Order_sp44	Family_sp44	Genus_sp44	Species_sp44
sp45	Kingdom_sp45	Phylum_sp45	Class_sp45	Order_sp45	Family_sp45	Genus_sp45	Species_sp45
sp46	Kingdom_sp46	Phylum_sp46	Class_sp46	Order_sp46	Family_sp46	Genus_sp46	Species_sp46
sp47	Kingdom_sp47	Phylum_sp47	Class_sp47	Order_sp47	Family_sp47	Genus_sp47	Species_sp47
sp48	Kingdom_sp48	Phylum_sp48	Class_sp48	Order_sp48	Family_sp48	Genus_sp48	Species_sp48
sp49	Kingdom_sp49	Phylum_sp49	Class_sp49	Order_sp49	Family_sp49	Genus_sp49	Species_sp49
sp50	Kingdom_sp50	Phylum_sp50	Class_sp50	Order_sp50	Family_sp50	Genus_sp50	Species_sp50
sp51	Kingdom_sp51	Phylum_sp51	Class_sp51	Order_sp51	Family_sp51	Genus_sp51	Species_sp51
sp52	Kingdom_sp52	Phylum_sp52	Class_sp52	Order_sp52	Family_sp52	Genus_sp52	Species_sp52
sp53	Kingdom_sp53	Phylum_sp53	Class_sp53	Order_sp53	Family_sp53	Genus_sp53	Species_sp53
sp54	Kingdom_sp54	Phylum_sp54	Class_sp54	Order_sp54	Family_sp54	Genus_sp54	Species_sp54
sp55	Kingdom_sp55	Phylum_sp55	Class_sp55	Order_sp55	Family_sp55	Genus_sp55	Species_sp55
sp56	Kingdom_sp56	Phylum_sp56	Class_sp56	Order_sp56	Family_sp56	Genus_sp56	Species_sp56
sp57	Kingdom_sp57	Phylum_sp57	Class_sp57	Order_sp57	Family_sp57	Genus_sp57	Species_sp57
sp58	Kingdom_sp58	Phylum_sp58	Class_sp58	Order_sp58	Family_sp58	Genus_sp58	Species_sp58
sp59	Kingdom_sp59	Phylum_sp59	Class_sp59	Order_sp59	Family_sp59	Genus_sp59	Species_sp59
sp60	Kingdom_sp60	Phylum_sp60	Class_sp60	Order_sp60	Family_sp60	Genus_sp60	Species_sp60
sp61	Kingdom_sp61	Phylum_sp61	Class_sp61	Order_sp61	Family_sp61	Genus_sp61	Species_sp61
sp62	Kingdom_sp62	Phylum_sp62	Class_sp62	Order_sp62	Family_sp62	Genus_sp62	Species_sp62
sp63	Kingdom_sp63	Phylum_sp63	Class_sp63	Order_sp63	Family_sp63	Genus_sp63	Species_sp63
sp64	Kingdom_sp64	Phylum_sp64	Class_sp64	Order_sp64	Family_sp64	Genus_sp64	Species_sp64
sp65	Kingdom_sp65	Phylum_sp65	Class_sp65	Order_sp65	Family_sp65	Genus_sp65	Species_sp65
sp66	Kingdom_sp66	Phylum_sp66	Class_sp66	Order_sp66	Family_sp66	Genus_sp66	Species_sp66
sp67	Kingdom_sp67	Phylum_sp67	Class_sp67	Order_sp67	Family_sp67	Genus_sp67	Species_sp67
sp68	Kingdom_sp68	Phylum_sp68	Class_sp68	Order_sp68	Family_sp68	Genus_sp68	Species_sp68
sp69	Kingdom_sp69	Phylum_sp69	Class_sp69	Order_sp69	Family_sp69	Genus_sp69	Species_sp69
sp70	Kingdom_sp70	Phylum_sp70	Class_sp70	Order_sp70	Family_sp70	Genus_sp70	Species_sp70
sp71	Kingdom_sp71	Phylum_sp71	Class_sp71	Order_sp71	Family_sp71	Genus_sp71	Species_sp71
sp72	Kingdom_sp72	Phylum_sp72	Class_sp72	Order_sp72	Family_sp72	Genus_sp72	Species_sp72
sp73	Kingdom_sp73	Phylum_sp73	Class_sp73	Order_sp73	Family_sp73	Genus_sp73	Species_sp73
sp74	Kingdom_sp74	Phylum_sp74	Class_sp74	Order_sp74	Family_sp74	Genus_sp74	Species_sp74
sp75	Kingdom_sp75	Phylum_sp75	Class_sp75	Order_sp75	Family_sp75	Genus_sp75	Species_sp75
sp76	Kingdom_sp76	Phylum_sp76	Class_sp76	Order_sp76	Family_sp76	Genus_sp76	Species_sp76
sp77	Kingdom_sp77	Phylum_sp77	Class_sp77	Order_sp77	Family_sp77	Genus_sp77	Species_sp77
sp78	Kingdom_sp78	Phylum_sp78	Class_sp78	Order_sp78	Family_sp78	Genus_sp78	Species_sp78
sp79	Kingdom_sp79	Phylum_sp79	Class_sp79	Order_sp79	Family_sp79	Genus_sp79	Species_sp79
sp80	Kingdom_sp80	Phylum_sp80	Class_sp80	Order_sp80	Family_sp80	Genus_sp80	Species_sp80
sp81	Kingdom_sp81	Phylum_sp81	Class_sp81	Order_sp81	Family_sp81	Genus_sp81	Species_sp81
sp82	Kingdom_sp82	Phylum_sp82	Class_sp82	Order_sp82	Family_sp82	Genus_sp82	Species_sp82
sp83	Kingdom_sp83	Phylum_sp83	Class_sp83	Order_sp83	Family_sp83	Genus_sp83	Species_sp83
sp84	Kingdom_sp84	Phylum_sp84	Class_sp84	Order_sp84	Family_sp84	Genus_sp84	Species_sp84
sp85	Kingdom_sp85	Phylum_sp85	Class_sp85	Order_sp85	Family_sp85	Genus_sp85	Species_sp85
sp86	Kingdom_sp86	Phylum_sp86	Class_sp86	Order_sp86	Family_sp86	Genus_sp86	Species_sp86
sp87	Kingdom_sp87	Phylum_sp87	Class_sp87	Order_sp87	Family_sp87	Genus_sp87	Species_sp87
sp88	Kingdom_sp88	Phylum_sp88	Class_sp88	Order_sp88	Family_sp88	Genus_sp88	Species_sp88
sp89	Kingdom_sp89	Phylum_sp89	Class_sp89	Order_sp89	Family_sp89	Genus_sp89	Species_sp89
sp90	Kingdom_sp90	Phylum_sp90	Class_sp90	Order_sp90	Family_sp90	Genus_sp90	Species_sp90
sp91	Kingdom_sp91	Phylum_sp91	Class_sp91	Order_sp91	Family_sp91	Genus_sp91	Species_sp91
sp92	Kingdom_sp92	Phylum_sp92	Class_sp92	Order_sp92	Family_sp92	Genus_sp92	Species_sp92
sp93	Kingdom_sp93	Phylum_sp93	Class_sp93	Order_sp93	Family_sp93	Genus_sp93	Species_sp93
sp94	Kingdom_sp94	Phylum_sp94	Class_sp94	Order_sp94	Family_sp94	Genus_sp94	Species_sp94
sp95	Kingdom_sp95	Phylum_sp95	Class_sp95	Order_sp95	Family_sp95	Genus_sp95	Species_sp95
sp96	Kingdom_sp96	Phylum_sp96	Class_sp96	Order_sp96	Family_sp96	Genus_sp96	Species_sp96
sp97	Kingdom_sp97	Phylum_sp97	Class_sp97	Order_sp97	Family_sp97	Genus_sp97	Species_sp97
sp98	Kingdom_sp98	Phylum_sp98	Class_sp98	Order_sp98	Family_sp98	Genus_sp98	Species_sp98
sp99	Kingdom_sp99	Phylum_sp99	Class_sp99	Order_sp99	Family_sp99	Genus_sp99	Species_sp99
sp100	Kingdom_sp100	Phylum_sp100	Class_sp100	Order_sp100	Family_sp100	Genus_sp100	Species_sp100
sp101	Kingdom_sp101	Phylum_sp101	Class_sp101	Order_sp101	Family_sp101	Genus_sp101	Species_sp101
sp102	Kingdom_sp102	Phylum_sp102	Class_sp102	Order_sp102	Family_sp102	Genus_sp102	Species_sp102
sp103	Kingdom_sp103	Phylum_sp103	Class_sp103	Order_sp103	Family_sp103	Genus_sp103	Species_sp103
sp104	Kingdom_sp104	Phylum_sp104	Class_sp104	Order_sp104	Family_sp104	Genus_sp104	Species_sp104
sp105	Kingdom_sp105	Phylum_sp105	Class_sp105	Order_sp105	Family_sp105	Genus_sp105	Species_sp105
sp106	Kingdom_sp106	Phylum_sp106	Class_sp106	Order_sp106	Family_sp106	Genus_sp106	Species_sp106
sp107	Kingdom_sp107	Phylum_sp107	Class_sp107	Order_sp107	Family_sp107	Genus_sp107	Species_sp107
sp108	Kingdom_sp108	Phylum_sp108	Class_sp108	Order_sp108	Family_sp108	Genus_sp108	Species_sp108
sp109	Kingdom_sp109	Phylum_sp109	Class_sp109	Order_sp109	Family_sp109	Genus_sp109	Species_sp109
sp110	Kingdom_sp110	Phylum_sp110	Class_sp110	Order_sp110	Family_sp110	Genus_sp110	Species_sp110
sp111	Kingdom_sp111	Phylum_sp111	Class_sp111	Order_sp111	Family_sp111	Genus_sp111	Species_sp111
sp112	Kingdom_sp112	Phylum_sp112	Class_sp112	Order_sp112	Family_sp112	Genus_sp112	Species_sp112
sp113	Kingdom_sp113	Phylum_sp113	Class_sp113	Order_sp113	Family_sp113	Genus_sp113	Species_sp113
sp114	Kingdom_sp114	Phylum_sp114	Class_sp114	Order_sp114	Family_sp114	Genus_sp114	Species_sp114
sp115	Kingdom_sp115	Phylum_sp115	Class_sp115	Order_sp115	Family_sp115	Genus_sp115	Species_sp115
sp116	Kingdom_sp116	Phylum_sp116	Class_sp116	Order_sp116	Family_sp116	Genus_sp116	Species_sp116
sp117	Kingdom_sp117	Phylum_sp117	Class_sp117	Order_sp117	Family_sp117	Genus_sp117	Species_sp117
sp118	Kingdom_sp118	Phylum_sp118	Class_sp118	Order_sp118	Family_sp118	Genus_sp118	Species_sp118
sp119	Kingdom_sp119	Phylum_sp119	Class_sp119	Order_sp119	Family_sp119	Genus_sp119	Species_sp119
sp120	Kingdom_sp120	Phylum_sp120	Class_sp120	Order_sp120	Family_sp120	Genus_sp120	Species_sp120
sp121	Kingdom_sp121	Phylum_sp121	Class_sp121	Order_sp121	Family_sp121	Genus_sp121	Species_sp121
sp122	Kingdom_sp122	Phylum_sp122	Class_sp122	Order_sp122	Family_sp122	Genus_sp122	Species_sp122
sp123	Kingdom_sp123	Phylum_sp123	Class_sp123	Order_sp123	Family_sp123	Genus_sp123	Species_sp123
sp124	Kingdom_sp124	Phylum_sp124	Class_sp124	Order_sp124	Family_sp124	Genus_sp124	Species_sp124
sp125	Kingdom_sp125	Phylum_sp125	Class_sp125	Order_sp125	Family_sp125	Genus_sp125	Species_sp125
sp126	Kingdom_sp126	Phylum_sp126	Class_sp126	Order_sp126	Family_sp126	Genus_sp126	Species_sp126
sp127	Kingdom_sp127	Phylum_sp127	Class_sp127	Order_sp127	Family_sp127	Genus_sp127	Species_sp127
sp128	Kingdom_sp128	Phylum_sp128	Class_sp128	Order_sp128	Family_sp128	Genus_sp128	Species_sp128
sp129	Kingdom_sp129	Phylum_sp129	Class_sp129	Order_sp129	Family_sp129	Genus_sp129	Species_sp129
sp130	Kingdom_sp130	Phylum_sp130	Class_sp130	Order_sp130	Family_sp130	Genus_sp130	Species_sp130
sp131	Kingdom_sp131	Phylum_sp131	Class_sp131	Order_sp131	Family_sp131	Genus_sp131	Species_sp131
sp132	Kingdom_sp132	Phylum_sp132	Class_sp132	Order_sp132	Family_sp132	Genus_sp132	Species_sp132
sp133	Kingdom_sp133	Phylum_sp133	Class_sp133	Order_sp133	Family_sp133	Genus_sp133	Species_sp133
sp134	Kingdom_sp134	Phylum_sp134	Class_sp134	Order_sp134	Family_sp134	Genus_sp134	Species_sp134
sp135	Kingdom_sp135	Phylum_sp135	Class_sp135	Order_sp135	Family_sp135	Genus_sp135	Species_sp135
sp136	Kingdom_sp136	Phylum_sp136	Class_sp136	Order_sp136	Family_sp136	Genus_sp136	Species_sp136
sp137	Kingdom_sp137	Phylum_sp137	Class_sp137	Order_sp137	Family_sp137	Genus_sp137	Species_sp137
sp138	Kingdom_sp138	Phylum_sp138	Class_sp138	Order_sp138	Family_sp138	Genus_sp138	Species_sp138
sp139	Kingdom_sp139	Phylum_sp139	Class_sp139	Order_sp139	Family_sp139	Genus_sp139	Species_sp139
sp140	Kingdom_sp140	Phylum_sp140	Class_sp140	Order_sp140	Family_sp140	Genus_sp140	Species_sp140
sp141	Kingdom_sp141	Phylum_sp141	Class_sp141	Order_sp141	Family_sp141	Genus_sp141	Species_sp141
sp142	Kingdom_sp142	Phylum_sp142	Class_sp142	Order_sp142	Family_sp142	Genus_sp142	Species_sp142
sp143	Kingdom_sp143	Phylum_sp143	Class_sp143	Order_sp143	Family_sp143	Genus_sp143	Species_sp143
sp144	Kingdom_sp144	Phylum_sp144	Class_sp144	Order_sp144	Family_sp144	Genus_sp144	Species_sp144
sp145	Kingdom_sp145	Phylum_sp145	Class_sp145	Order_sp145	Family_sp145	Genus_sp145	Species_sp145
sp146	Kingdom_sp146	Phylum_sp146	Class_sp146	Order_sp146	Family_sp146	Genus_sp146	Species_sp146
sp147	Kingdom_sp147	Phylum_sp147	Class_sp147	Order_sp147	Family_sp147	Genus_sp147	Species_sp147
sp148	Kingdom_sp148	Phylum_sp148	Class_sp148	Order_sp148	Family_sp148	Genus_sp148	Species_sp148
sp149	Kingdom_sp149	Phylum_sp149	Class_sp149	Order_sp149	Family_sp149	Genus_sp149	Species_sp149
sp150	Kingdom_sp150	Phylum_sp150	Class_sp150	Order_sp150	Family_sp150	Genus_sp150	Species_sp150
