#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100
sp11	19738	29193	0	60043	116853	0	0	125344	91150	53344	41078	43	0	1	0	10736	146455	0	40927	25	71123	0	0	0	0	0	191	21332	0	53872	0	0	0	128131	0	0	57027	14925	0	0	0	0	0	0	0	68633	0	171919	0	86752	0	0	59785	40585	27222	0	623	75725	55108	138369	10216	36833	69797	123598	0	971	0	0	0	0	144389	0	0	19109	0	42518	0	29483	74270	0	83047	76385	27597	25009	0	1060	0	25288	0	48105	0	0	0	30979	93764	114097	0	78760	0	73291
sp12	103873	166971	36538	29232	131275	161814	130586	0	8717	111424	112982	24368	3537	122432	1	55028	46852	145937	0	41754	76648	70807	48110	23337	78929	0	21761	102130	145968	30	118652	28840	0	45127	0	68962	0	159717	62919	69905	10436	55551	58704	103483	28	150250	10600	103132	80927	8137	44104	29	33739	380	98198	42829	148393	52915	167302	0	0	34788	0	219	98860	164572	8820	73415	148074	79125	213	567	0	174117	0	89568	42	0	32313	0	192486	3352	0	77254	0	161059	146182	113851	16008	16	110445	64513	183984	156230	18706	137700	27751	0	46804	153878
sp13	6509	177460	59796	43861	34855	188740	158819	26215	36301	132733	51273	95252	181756	135763	176092	105187	136041	2755	100328	141838	9772	31937	161559	44157	172749	150433	15603	191116	84512	83729	65590	54212	61134	32644	171507	131315	132418	9401	96472	161975	95075	187211	83648	112920	16493	75154	186840	38570	192896	117600	165096	77802	121389	85832	183216	37307	166017	62703	65165	107577	153896	105747	6157	8131	166182	61894	166771	121164	19874	190088	153670	162529	138321	62700	74859	127137	120577	70913	2277	63516	22155	158520	156601	190605	177760	80752	113643	167673	147965	102832	123989	190680	197801	65292	80391	63036	130485	152841	139810	197996
sp14	300575	206802	179513	155430	63155	151401	145080	101425	106480	0	89430	127558	162503	190864	0	21674	0	225204	53593	41598	112295	135240	124067	188489	175938	108041	307340	0	123473	152827	81694	44200	159551	264315	24607	115037	7846	76866	88921	110484	62296	0	95079	35898	128617	102888	50250	284540	89057	75818	369	57448	177799	191849	35305	235598	109085	151184	60246	0	13099	183567	237892	93353	7760	213185	28464	258832	232934	0	29434	0	128213	171306	150573	119292	32863	35951	208453	194711	91526	0	103841	0	25500	179133	137949	84784	6124	165319	21648	0	1	238305	157344	188491	111962	107670	41163	24469
sp15	0	1654	185	0	110246	110366	11948	2091	81959	172509	137933	0	3467	0	72229	133795	99658	0	63924	87089	57391	63951	88	33129	0	28121	4912	127606	75514	36231	0	0	0	45511	134696	67384	186661	58089	98980	1	95643	92648	0	115160	99349	43349	0	0	49072	5	94273	146270	0	0	24340	0	25821	0	15148	187211	170587	34	57539	17111	190577	70847	177846	0	0	77775	4409	113894	7	67343	95310	27475	66977	102067	0	25083	135697	111857	49290	6418	36425	0	466	145028	154161	28424	12621	104047	193429	28063	30271	0	109130	0	52581	68821
sp16	143137	83027	171369	178634	72408	56230	54445	102543	143331	131842	92547	16250	91633	61150	79127	29460	95583	175326	97802	128692	30331	51254	86450	154358	77590	3016	25842	67743	41463	154257	84762	194724	81258	37448	21683	38264	4835	183428	86827	57556	169597	56928	184430	115122	186220	185436	90824	124960	39776	116666	196622	192105	118834	84745	53714	189300	132178	125523	117106	34851	181530	131011	65840	99127	174828	13239	178155	47791	43503	109043	179816	90212	136211	75993	39860	82506	121621	107137	28648	139062	185810	72705	12841	41854	193564	60311	137520	146182	89351	197932	106812	171101	73040	19824	114461	68877	147580	172023	156990	106120
sp17	99094	0	70191	84526	6	0	0	143226	5	56812	0	0	64685	0	103	64567	106300	0	72514	46917	0	84152	2	27716	0	117347	62755	157021	58274	89088	159271	0	25070	2	160633	0	142341	0	122057	40207	0	0	24440	84546	92253	10142	0	69626	93978	0	88039	40479	21308	0	54557	50601	114755	122408	32662	0	2999	120212	33940	26010	109350	11367	0	0	0	157633	0	74867	0	59880	0	119081	28503	45217	12	0	70763	150167	45047	54892	0	10009	0	70377	0	47734	110804	0	112071	0	118072	42096	5	0	0	394
sp18	69461	49493	0	54316	18060	173841	4927	0	62212	0	154331	164449	0	4	132221	0	43870	98721	51215	2	101914	0	36944	66888	13805	33905	136621	46425	10060	0	33	108531	66328	150360	0	10744	13116	31451	0	137983	94495	151418	41102	0	1352	92077	96575	79199	109145	100556	0	0	67883	60695	237	0	39461	0	130105	77090	51666	0	144039	58328	0	1610	0	160444	60469	0	135438	0	27693	90905	168183	0	112616	52512	118899	104142	0	0	57568	27742	72004	75673	24505	0	30414	52361	0	74990	45634	193002	0	0	168	104124	14	84335
sp19	88262	27	43689	147460	31164	105537	128461	63197	19197	3	45278	3580	7659	51949	45934	35734	99296	157883	4899	83214	11925	73239	37458	94933	33944	32545	113776	40522	9047	51609	32023	80227	29578	45630	167435	135812	120	144127	84168	172888	65016	142708	16034	56953	140329	114539	78991	110609	39484	2	43978	121766	170112	25	126857	128375	106837	15494	112398	163503	89023	10077	0	88871	34455	64233	172046	162648	44873	109564	27494	30716	19246	32779	46450	42193	106662	121198	84665	11075	74652	168340	43913	122842	121674	77258	56843	33101	62784	105684	162235	26897	63654	74234	63310	158215	41157	109411	16965	11845
sp20	173559	202195	37134	148951	104292	129975	92557	72878	119539	32519	50253	62963	195533	113843	9060	86170	6716	74085	127680	21563	38308	86769	55775	41835	131266	184142	195621	23360	40947	85210	154598	25030	79776	152888	112980	203708	37250	90945	8328	60108	142090	36459	179287	37417	108258	14410	12429	185260	115222	126445	117255	42697	123122	142175	79813	154844	174235	121830	68566	29951	63755	193568	184376	59713	122484	95890	137870	191893	159621	41632	92922	86681	21381	150095	24742	83327	57902	11457	21571	51751	123958	38383	71429	103699	94810	139741	161828	35772	130003	85885	42830	49840	138049	211857	100872	155116	201113	4509	82194	77582
sp21	26502	195317	191768	139457	94668	106175	60639	195021	57117	112458	115073	28468	131040	139496	192682	172724	12323	164963	108077	47658	119911	121012	170419	9529	99708	150008	98014	35817	153782	75097	188379	99039	198532	114303	157540	18397	170269	144753	35893	15173	136451	27233	168950	59331	132088	199672	8844	36918	83460	52837	128003	76725	149758	186140	24398	87305	102332	95894	107452	41088	120280	23231	116953	124692	12015	169711	164768	121465	58190	28424	76822	111865	41092	182758	101684	175333	126136	6686	156649	139075	142709	175525	148743	50545	181485	178660	146065	193550	160121	62399	93436	6515	167664	100429	147291	130108	191734	136227	76561	146319
sp22	95934	0	74198	27124	124176	0	98448	83876	67987	30574	99782	182270	148653	0	86573	158369	55368	0	85081	60539	64641	11	104394	173031	142818	6330	46333	0	51932	139413	373	496	183362	114043	182743	10	100560	0	47732	57006	148685	23	139894	1	102247	75365	114062	126347	133222	35413	149765	134482	109778	119080	0	53654	0	109295	12991	154066	180196	52463	169548	155493	79291	1	114829	14	0	18152	196636	177758	70434	22	97777	74961	131322	45966	52926	134075	0	107309	29874	14839	49445	0	109612	88654	180834	195049	134798	808	0	109581	153393	0	135280	139950	72396	29691
sp23	672	2816	65975	10413	68725	17591	317	133817	114450	8078	27826	89973	0	107724	157801	103670	60578	9	147443	28427	122361	113975	151794	20180	139	95108	0	18798	42978	89303	360	81290	81986	4528	135427	37312	145449	14799	108030	72	936	124565	7	90262	104937	24544	43049	91759	88912	6068	99537	3364	14076	81289	111589	104936	27179	0	33461	86102	169393	103864	89263	24	223	44285	74763	114410	0	35286	59043	80359	92021	0	110435	0	20073	141444	60442	143028	6426	74743	154103	69162	128234	0	438	9559	42601	0	43737	126781	1355	10269	98204	51354	78147	90670	82178	429
sp24	48838	0	103583	0	48094	21	0	0	10913	99277	104160	3357	25924	177842	51835	0	87157	0	0	33938	49408	99489	44363	4956	122092	23879	26752	27214	0	89336	79942	40798	110130	130286	0	135947	78951	81843	118667	15068	0	532	67011	132913	57531	46749	70687	163904	43668	151104	51777	99674	62299	52215	162920	0	0	97729	106410	39481	65966	105439	14074	0	3565	78660	45279	12926	6	106185	86887	32785	139003	145108	26414	47267	0	120399	137923	7	68519	3860	967	67725	0	62021	32521	0	82046	75617	93127	343	76961	3541	146759	0	29300	4	903	11432
sp25	65525	152244	80112	87319	176527	191647	187173	97327	6000	175386	169795	64159	147841	2040	124700	147172	82429	196113	122641	167364	26933	53005	17540	64495	153560	46194	189026	82247	132899	35349	159716	173611	126156	70124	126334	4036	90189	192656	134368	172096	160600	52737	112161	52548	3060	28265	43566	55824	83582	6052	109982	64790	149802	197598	7989	199591	170638	26587	36784	120822	49629	103551	7451	151099	51412	130934	48652	134450	75122	111735	96783	110648	91325	29486	46839	113944	168199	158569	67840	180137	161283	197089	173171	150276	152332	156849	112644	105430	21513	137984	88884	72258	105856	34566	54201	195008	115131	194339	146753	104168
