#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
sp1	Kingdom_sp1	Phylum_sp1	Class_sp1	Order_sp1	Family_sp1	Genus_sp1	Species_sp1
sp26	Kingdom_sp26	Phylum_sp26	Class_sp26	Order_sp26	Family_sp26	Genus_sp26	Species_sp26
sp27	Kingdom_sp27	Phylum_sp27	Class_sp27	Order_sp27	Family_sp27	Genus_sp27	Species_sp27
sp28	Kingdom_sp28	Phylum_sp28	Class_sp28	Order_sp28	Family_sp28	Genus_sp28	Species_sp28
sp29	Kingdom_sp29	Phylum_sp29	Class_sp29	Order_sp29	Family_sp29	Genus_sp29	Species_sp29
sp30	Kingdom_sp30	Phylum_sp30	Class_sp30	Order_sp30	Family_sp30	Genus_sp30	Species_sp30
sp31	Kingdom_sp31	Phylum_sp31	Class_sp31	Order_sp31	Family_sp31	Genus_sp31	Species_sp31
sp32	Kingdom_sp32	Phylum_sp32	Class_sp32	Order_sp32	Family_sp32	Genus_sp32	Species_sp32
sp33	Kingdom_sp33	Phylum_sp33	Class_sp33	Order_sp33	Family_sp33	Genus_sp33	Species_sp33
sp34	Kingdom_sp34	Phylum_sp34	Class_sp34	Order_sp34	Family_sp34	Genus_sp34	Species_sp34
sp35	Kingdom_sp35	Phylum_sp35	Class_sp35	Order_sp35	Family_sp35	Genus_sp35	Species_sp35
sp36	Kingdom_sp36	Phylum_sp36	Class_sp36	Order_sp36	Family_sp36	Genus_sp36	Species_sp36
sp37	Kingdom_sp37	Phylum_sp37	Class_sp37	Order_sp37	Family_sp37	Genus_sp37	Species_sp37
sp38	Kingdom_sp38	Phylum_sp38	Class_sp38	Order_sp38	Family_sp38	Genus_sp38	Species_sp38
sp39	Kingdom_sp39	Phylum_sp39	Class_sp39	Order_sp39	Family_sp39	Genus_sp39	Species_sp39
sp40	Kingdom_sp40	Phylum_sp40	Class_sp40	Order_sp40	Family_sp40	Genus_sp40	Species_sp40
sp41	Kingdom_sp41	Phylum_sp41	Class_sp41	Order_sp41	Family_sp41	Genus_sp41	Species_sp41
sp42	Kingdom_sp42	Phylum_sp42	Class_sp42	Order_sp42	Family_sp42	Genus_sp42	Species_sp42
sp43	Kingdom_sp43	Phylum_sp43	Class_sp43	Order_sp43	Family_sp43	Genus_sp43	Species_sp43
sp44	Kingdom_sp44	Phylum_sp44	Class_sp44	Order_sp44	Family_sp44	Genus_sp44	Species_sp44
sp45	Kingdom_sp45	Phylum_sp45	Class_sp45	Order_sp45	Family_sp45	Genus_sp45	Species_sp45
sp46	Kingdom_sp46	Phylum_sp46	Class_sp46	Order_sp46	Family_sp46	Genus_sp46	Species_sp46
sp47	Kingdom_sp47	Phylum_sp47	Class_sp47	Order_sp47	Family_sp47	Genus_sp47	Species_sp47
sp48	Kingdom_sp48	Phylum_sp48	Class_sp48	Order_sp48	Family_sp48	Genus_sp48	Species_sp48
sp49	Kingdom_sp49	Phylum_sp49	Class_sp49	Order_sp49	Family_sp49	Genus_sp49	Species_sp49
sp50	Kingdom_sp50	Phylum_sp50	Class_sp50	Order_sp50	Family_sp50	Genus_sp50	Species_sp50
